School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Alleghany County School District,2020,https://www.alleghany.k12.nc.us/Domain/4,"85 Peachtree Street Sparta, NC 28675",85 Peachtree Street,,Sparta,NC,28675,36.51184,-81.12251,NC,1,Rural - Remote (43),D - Rural,3700120,"1,406","B - 1,000 - 2,499",4,,28.26%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Allegheny Intermediate Unit,2020,https://www.aiu3.net/,"475 East Waterfront Drive Homestead, PA 15120",475 East Waterfront Drive,,Homestead,PA,15120,40.41351,-79.90869,PA,1,Suburb - Large (21),B - Suburban,4289130,515,G - N/A,0,,,E - N/A,A - Northeast,Special LEA
Allendale County Schools,2019,https://www.acs.k12.sc.us/,"3249 Allendale - Fairfax Hwy  Fairfax, SC 29827 ",3249 Allendale - Fairfax Hwy ,,Fairfax,SC,29827,32.981864,-81.270642,SC,1,Rural - Fringe (41),D - Rural,4500750,"1,192","B - 1,000 - 2,499",4,184.1,43.14%,D - 30 percent or more,B - Southeast,Regular LEA
Alpena Public Schools,2017,http://alpenaschools.k12.ar.us/,"300 S. Denver St Alpena, AR 72611",300 S. Denver St,,Alpena,AR,72611,36.29184,-93.29487,AR,1,Rural - Distant (42),D - Rural,502280,520,"A - Less than 1,000",2,80.08,27.61%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Alpine School District,2020,https://alpineschools.org/,"575 N 100 E American Fork, UT 84003",575 N 100 E,,American Fork,UT,84003,40.388416,-111.7959731,UT,1,Suburb - Large (21),B - Suburban,4900030,"81,715","E - 25,000 - 99,999",87,"3,863.46",6.43%,A - Less than 10 percent,D - West,Regular LEA
Alvarado Independent School District,2017,https://www.alvaradoisd.net/,"102 S. Bill Jackson Alvarado, TX 76009",102 S. Bill Jackson,,Alvarado,TX,76009,32.4069193,-97.2207888,TX,1,Rural - Fringe (41),D - Rural,4800011,"3,596","C - 2,500 - 9,999",7,437.62,16.24%,B - 10 to 19.99 percent,D - West,Regular LEA
Ames Community School District,2017,http://www.ames.k12.ia.us/,"2005 24th Street Ames, IA 50010",2005 24th Street,,Ames,IA,50010,42.04704,-93.63696,IA,1,City - Small (13),A - City,1903540,"4,370","C - 2,500 - 9,999",8,568.19,7.78%,A - Less than 10 percent,C - Central,Regular LEA
Amherst Exempted Village Schools,2019,https://www.amherstk12.org/,"185 Forest Street Amherst, OH 44001",185 Forest Street,,Amherst,OH,44001,41.39879,-82.22124,OH,1,Suburb - Midsize (22),B - Suburban,3904519,"3,700","C - 2,500 - 9,999",4,556.52,6.77%,A - Less than 10 percent,C - Central,Regular LEA
Anaheim Union High School District,2018,http://www.auhsd.us/district/index.php,"501 N. Crescent Way Anaheim, CA 92803",501 N. Crescent Way,,Anaheim,CA,92803,33.83775,-117.9489,CA,1,City - Large (11),A - City,602630,"31,276","E - 25,000 - 99,999",20,"2,482.92",20.88%,C - 20 to 29.99 percent,D - West,Regular LEA
Anchorage School District,2018,https://www.asdk12.org/001u000000ddgxeia3,"5530 E Northern Lights Boulevard Anchorage, AK 99504",5530 E Northern Lights Boulevard,,Anchorage,AK,99504,61.1951,-149.77588,AK,1,City - Large (11),A - City,200180,"48,238","E - 25,000 - 99,999",100,"5,732.12",8.86%,A - Less than 10 percent,D - West,Regular LEA
Anne Arundel County Public Schools,2017,https://www.aacps.org/,"2644 Riva Road Annapolis, MD 21401",2644 Riva Road,,Annapolis,MD,21401,38.97612,-76.5594,MD,1,Suburb - Large (21),B - Suburban,2400060,"80,387","E - 25,000 - 99,999",123,"9,944.83",8.46%,A - Less than 10 percent,A - Northeast,Regular LEA
Antioch School District 34,2019,https://www.antioch34.com/Page/9,"964 Spafford St Antioch, IL 60002",964 Spafford St,,Antioch,IL,60002,42.47661,-88.09962,IL,1,Suburb - Large (21),B - Suburban,1703840,"2,950","C - 2,500 - 9,999",5,387.57,6.22%,A - Less than 10 percent,C - Central,Regular LEA
Apple Valley Unified  School District,2020,https://www.avusd.org/,"12555 Navajo Rd. Apple Valley, CA 92308",12555 Navajo Rd.,,Apple Valley,CA,92308,34.47988,-117.19006,CA,1,Suburb - Large (21),B - Suburban,600017,"13,196","D - 10,000 - 24,999",14,"1,155.21",22.27%,C - 20 to 29.99 percent,D - West,Regular LEA
Arbor Park School District 145,2019,https://www.arbor145.org/,"17301 Central Ave Oak Forest, IL 60452",17301 Central Ave,,Oak Forest,IL,60452,41.57732,-87.75505,IL,1,Suburb - Large (21),B - Suburban,1703930,"1,366","B - 1,000 - 2,499",4,174,12.70%,B - 10 to 19.99 percent,C - Central,Regular LEA
Area Special Education Cooperative,2019,http://www.asec.net/,"1505 Central Ave NW East Grand Forks, MN 56721",1505 Central Ave NW,,East Grand Forks,MN,56721,47.94056,-97.02086,MN,1,Suburb - Small (23),B - Suburban,2700050,,G - N/A,0,10.1,,E - N/A,C - Central,Special LEA
Argyle Independent School District,2017,https://www.argyleisd.com/,"800 Eagle Dr Argyle, TX 76226",800 Eagle Dr,,Argyle,TX,76226,33.12477,-97.18685,TX,2,Rural - Fringe (41),D - Rural,4808670,"2,243","B - 1,000 - 2,499",4,255.83,4.57%,A - Less than 10 percent,D - West,Regular LEA
Arizona Department of Education,2020,https://www.azed.gov/,"1535 West Jefferson Street Phoenix, AZ 85007",1535 West Jefferson Street,,Phoenix,AZ,85007,33.4465,-112.09246,AZ,1,,E - N/A,,,G - N/A,,,,E - N/A,D - West,SEA
Arkansas City USD 460,2017,https://www.usd470.com/,"2545 Greenway Arkansas City, KS 67005",2545 Greenway,,Arkansas City,KS,67005,37.09051,-97.03858,KS,1,Town - Distant (32),C - Town,2003450,"2,872","C - 2,500 - 9,999",8,385.3,18.86%,B - 10 to 19.99 percent,C - Central,Regular LEA
Arlington (MA) Public Schools,2018,http://www.arlington.k12.ma.us/home/default.asp,"869 Massachusetts Avenue Arlington, MA 02476",869 Massachusetts Avenue,,Arlington,MA,2476,42.41726,-71.16271,MA,1,Suburb - Large (21),B - Suburban,2501980,"5,398","C - 2,500 - 9,999",10,676.45,3.38%,A - Less than 10 percent,A - Northeast,Regular LEA
Arlington Public Schools,"2016, 2017, 2019",https://www.apsva.us/,"2110 Washington Boulevard Arlington, VA 22204",2110 Washington Boulevard,,Arlington,VA,22204,38.87269,-77.0834,VA,3,City - Midsize (12),A - City,5100270,"25,364","E - 25,000 - 99,999",39,"4,173.33",8.57%,A - Less than 10 percent,B - Southeast,Regular LEA
Athens Independent School District,2020,http://www.athensisd.net,"104 Hawn St Athens, TX 75751",104 Hawn St,,Athens,TX,75751,32.20423,-95.85894,TX,1,Town - Distant (32),C - Town,4808870,"3,011","C - 2,500 - 9,999",5,395.04,27.58%,C - 20 to 29.99 percent,D - West,Regular LEA
Atlanta Public Schools,2017,https://www.atlantapublicschools.us/,"130 Trinity Avenue Southwest Atlanta, GA 30303",130 Trinity Avenue Southwest,,Atlanta,GA,30303,33.74876,-84.39224,GA,1,City - Large (11),A - City,1300120,"51,500","E - 25,000 - 99,999",89,"7,037.00",33.30%,D - 30 percent or more,B - Southeast,Regular LEA
Auburn Enlarged City School District,2020,http://www.aecsd.education/,"78 Thornton Avenue Auburn, NY 13021",78 Thornton Avenue,,Auburn,NY,13021,42.91377,-76.57893,NY,1,Town - Distant (32),C - Town,3603480,"4,310","C - 2,500 - 9,999",7,560.03,19.45%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Aurora City School District,2019,http://www.aurora-schools.org/,"102 E. Garfield Rd Aurora, OH 44202",102 E. Garfield Rd,,Aurora,OH,44202,41.31659,-81.34161,OH,1,Suburb - Large (21),B - Suburban,3904917,"2,960","C - 2,500 - 9,999",5,,4.09%,A - Less than 10 percent,C - Central,Regular LEA
Ava R-1 School District,2019,https://mo50000144.schoolwires.net/Page/1,"507 North Spring Street Ava, MO 65608",507 North Spring Street,,Ava,MO,65608,36.9581019,-92.6586891,MO,1,Town - Distant (32),C - Town,2904050,"1,276","B - 1,000 - 2,499",3,161.23,27.20%,C - 20 to 29.99 percent,C - Central,Regular LEA
Avon Public Schools,2018,http://www.avon.k12.ct.us/,"34 Simsbury Road Avon, CT 06001",34 Simsbury Road,,Avon,CT,6001,41.81292,-72.82967,CT,1,Suburb - Large (21),B - Suburban,900120,"3,274","C - 2,500 - 9,999",5,510.54,3.49%,A - Less than 10 percent,A - Northeast,Regular LEA
Avoyelles Parish School System,2020,https://www.avoyellespsb.com/,"221 TUNICA DRIVE W Marksville , LA 71351",221 TUNICA DRIVE W,,Marksville ,LA,71351,31.12528,-92.07187,LA,1,Rural - Distant (42),D - Rural,2200150,"5,285","C - 2,500 - 9,999",10,510,36.99%,D - 30 percent or more,B - Southeast,Regular LEA
Bainville  School  District,2019,https://www.bainvilleschool.k12.mt.us/Page/1,"409 Tubman Bainville, MT 59212",409 Tubman,,Bainville,MT,59212,48.13918,-104.22601,MT,1,Rural - Remote (43),D - Rural,3002640,148,"A - Less than 1,000",3,,15.79%,B - 10 to 19.99 percent,D - West,Regular LEA
Baker County School District,2019,https://www.bakerk12.org/Domain/4,"392 South Blvd East Macclenny, FL 32063",392 South Blvd East,,Macclenny,FL,32063,30.27733,-82.1164746,FL,1,Town - Distant (32),C - Town,1200060,"5,044","C - 2,500 - 9,999",9,619.84,21.56%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Bakersfield City School District,2017,https://www.bcsd.com/,"1300 Baker Street Bakersfield, CA 93305",1300 Baker Street,,Bakersfield,CA,93305,35.3827,-118.99164,CA,1,City - Large (11),A - City,603630,"30,222","E - 25,000 - 99,999",44,"2,824.81",42.72%,D - 30 percent or more,D - West,Regular LEA
Baldwinsville Central School District,2019,https://www.bville.org/,"29 East Oneida Street  Baldwinsville, NY 13027",29 East Oneida Street ,,Baldwinsville,NY,13027,43.16325,-76.32952,NY,1,Suburb - Large (21),B - Suburban,3603870,"5,604","C - 2,500 - 9,999",8,788.17,8.15%,A - Less than 10 percent,A - Northeast,Regular LEA
Baltimore City Public Schools,2017,https://www.baltimorecityschools.org/,"200 East North Avenue Baltimore, MD 21202",200 East North Avenue,,Baltimore,MD,21202,39.31185,-76.61281,MD,1,City - Large (11),A - City,2400090,"83,666","E - 25,000 - 99,999",172,"9,497.53",30.86%,D - 30 percent or more,A - Northeast,Regular LEA
Baltimore County Public Schools,"2019, 2020",http://www.bcps.org/,"6901 Charles Street  Towson, MD 21204",6901 Charles Street ,,Towson,MD,21204,39.40294,-76.63079,MD,3,Suburb - Large (21),B - Suburban,2400120,"112,139","F - 100,000 or more",173,"14,598.63",9.52%,A - Less than 10 percent,A - Northeast,Regular LEA
Barrington Public Schools ,2020,https://www.barringtonschools.org/,"283 County Road  Barrington, RI 02806 ",283 County Road ,,Barrington,RI,2806,41.74114,-71.30768,RI,1,Suburb - Large (21),B - Suburban,4400030,"3,343","C - 2,500 - 9,999",6,425.7,2.91%,A - Less than 10 percent,A - Northeast,Regular LEA
Barron Area School District,2017,https://www.barron.k12.wi.us/,"100 West River Avenue Barron, WI 54812",100 West River Avenue,,Barron,WI,54812,45.4040351,-91.8599638,WI,1,Rural - Fringe (41),D - Rural,5500870,"1,362","B - 1,000 - 2,499",7,173.85,13.51%,B - 10 to 19.99 percent,C - Central,Regular LEA
Baugo Community Schools,2020,http://www.baugo.org/,"29125 County Road 22 West Elkhart, IN 46517",29125 County Road 22 West,,Elkhart,IN,46517,41.63582,-86.02477,IN,1,Suburb - Midsize (22),B - Suburban,1800420,"1,859","B - 1,000 - 2,499",4,225.19,8.91%,A - Less than 10 percent,C - Central,Regular LEA
Bay District Schools,"2017, 2018",http://www.bay.k12.fl.us/,"1311 Balboa Avenue Panama City, FL 32401",1311 Balboa Avenue,,Panama City,FL,32401,30.17255,-85.67603,FL,2,Suburb - Midsize (22),B - Suburban,1200090,"27,781","E - 25,000 - 99,999",53,"3,752.46",21.91%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Bay Shore Union Free School District,2020,http://www.bayshoreschools.org/,"75 West Perkal Street  Bay Shore, NY 11706",75 West Perkal Street ,,Bay Shore,NY,11706,40.73267,-73.25319,NY,1,Suburb - Large (21),B - Suburban,3604080,"6,127","C - 2,500 - 9,999",7,805.11,10.61%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Beaufort County School District,2020,https://beaufort.k12.sc.us/,"2900 Mink Point Boulevard Beaufort, SC  29902",2900 Mink Point Boulevard,,Beaufort,SC,29902,32.40787,-80.71694,SC,1,City - Small (13),A - City,4501110,"22,147","D - 10,000 - 24,999",33,"2,858.20",17.63%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Beaumont Independent School District,2017,https://www.bmtisd.com/,"3395 Harrison Avenue Beaumont, TX 77706",3395 Harrison Avenue,,Beaumont,TX,77706,30.08932,-94.13701,TX,1,City - Midsize (12),A - City,4809670,"19,232","D - 10,000 - 24,999",30,"2,365.57",31.16%,D - 30 percent or more,D - West,Regular LEA
Beaumont Unified School District,2020,http://www.beaumontusd.us/,"350 Brookside Ave Beaumont, CA 92223",350 Brookside Ave,,Beaumont,CA,92223,33.96333,-116.98482,CA,1,Suburb - Large (21),B - Suburban,604290,"10,426","D - 10,000 - 24,999",13,907.75,10.27%,B - 10 to 19.99 percent,D - West,Regular LEA
Beaverton School District ,2020,https://www.beaverton.k12.or.us/,"16550 SW Merlo Road Beaverton, OR 97003",16550 SW Merlo Road,,Beaverton,OR,97003,45.50515,-122.84688,OR,1,City - Small (13),A - City,4101920,"41,070","E - 25,000 - 99,999",55,"4,418.53",8.89%,A - Less than 10 percent,D - West,Regular LEA
Bedford School District,2019,https://sites.google.com/a/bedfordnhk12.net/bsd/,"103 County Rd Bedford, NH 03110",103 County Rd,,Bedford,NH,3110,42.93759,-71.49673,NH,1,Suburb - Midsize (22),B - Suburban,3301740,"4,513","C - 2,500 - 9,999",6,677.4,2.48%,A - Less than 10 percent,A - Northeast,Regular LEA
Bellingham Public Schools,2020,https://bellinghamschools.org/,"1306 Dupont Street Bellingham, WA 98225",1306 Dupont Street,,Bellingham,WA,98225,48.75927,-122.48703,WA,1,City - Small (13),A - City,5300420,"11,907","D - 10,000 - 24,999",25,,12.11%,B - 10 to 19.99 percent,D - West,Regular LEA
Belton Independent School District,2017,https://www.bisd.net/,"400 N. Wall St Belton, TX 76513",400 N. Wall St,,Belton,TX,76513,31.0585124,-97.4598251,TX,1,Suburb - Small (23),B - Suburban,4809860,"10,862","D - 10,000 - 24,999",15,"1,523.41",13.49%,B - 10 to 19.99 percent,D - West,Regular LEA
Bemus Point Central School District,2018,http://bemusptcsd.org/,"3980 Dutch Hollow Rd. Bemus Point, NY 14712",3980 Dutch Hollow Rd.,,Bemus Point,NY,14712,42.1622748,-79.3271799,NY,1,Rural - Fringe (41),D - Rural,3604530,737,"A - Less than 1,000",2,113.56,11.90%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Ben Bolt - Palito Blanco Independent School District,2017,https://www.bbpbschools.net/,"172 Badger Lane Ben Bolt, TX 78342",172 Badger Lane,,Ben Bolt,TX,78342,27.6456705,-98.0867625,TX,1,Rural - Distant (42),D - Rural,4809870,579,"A - Less than 1,000",2,97,16.80%,B - 10 to 19.99 percent,D - West,Regular LEA
Berkeley Public Schools,"2016, 2019, 2020",http://www.berkeleyschools.net/,"2020 Bonar Street Berkeley, CA 94702",2020 Bonar Street,,Berkeley,CA,94702,37.86901,-122.28846,CA,3,City - Midsize (12),A - City,604740,"10,462","D - 10,000 - 24,999",19,"1,220.54",9.14%,A - Less than 10 percent,D - West,Regular LEA
Bethel Public Schools,2019,https://www.bethel.k12.ok.us/,"36000 Clear Pond Road Shawnee, OK  74801",36000 Clear Pond Road,,Shawnee,OK,74801,35.31886,-97.0127,OK,1,Rural - Distant (42),D - Rural,4004230,"1,347","B - 1,000 - 2,499",3,158.3,10.19%,B - 10 to 19.99 percent,D - West,Regular LEA
Bethlehem Central School District,2019,https://www.bethlehemschools.org/,"700 Delaware Avenue Delmar, NY 12504",700 Delaware Avenue,,Delmar,NY,12504,42.61071,-73.85529,NY,1,Suburb - Large (21),B - Suburban,3604710,"4,624","C - 2,500 - 9,999",7,767.72,3.16%,A - Less than 10 percent,A - Northeast,Regular LEA
Beverly Hills Unified School District,2020,https://www.bhusd.org/,"255 South Lasky Drive Beverly Hills, CA 90212",255 South Lasky Drive,,Beverly Hills,CA,90212,34.0624,-118.41036,CA,1,Suburb - Large (21),B - Suburban,604830,"3,773","C - 2,500 - 9,999",6,475.43,11.22%,B - 10 to 19.99 percent,D - West,Regular LEA
Big Sandy Independent School District,2017,http://www.bigsandyisd.org/,"401 North Wildcat Drive Big Sandy, TX 75755",401 North Wildcat Drive,,Big Sandy,TX,75755,32.58657,-95.11079,TX,1,Rural - Distant (42),D - Rural,4810140,704,"A - Less than 1,000",3,161.67,26.75%,C - 20 to 29.99 percent,D - West,Regular LEA
Big Walnut Local School District,2016,http://www.bwls.net/,"110 Tippett Court Sunbury, OH 43074",110 Tippett Court,,Sunbury,OH,43074,40.2495,-82.86809,OH,1,Rural - Fringe (41),D - Rural,3904674,"3,426","C - 2,500 - 9,999",7,544.15,4.86%,A - Less than 10 percent,C - Central,Regular LEA
Bigfork Public Schools,2016,https://www.bigforkschools.org/,"600 Commerce Street Bigfork, MT 59911",600 Commerce Street,,Bigfork,MT,59911,48.06473,-114.07929,MT,1,Rural - Remote (43),D - Rural,3003840,282,"A - Less than 1,000",1,43.05,8.38%,A - Less than 10 percent,D - West,Regular LEA
Bismarck Public Schools,2019,https://www.bismarckschools.org/,"806 North Washington Street Bismarck, ND 58501",806 North Washington Street,,Bismarck,ND,58501,46.81329,-100.79511,ND,1,City - Small (13),A - City,3800014,"12,878","D - 10,000 - 24,999",24,"1,598.50",6.28%,A - Less than 10 percent,C - Central,Regular LEA
Bixby Public Schools,2019,https://www.bixbyps.org/,"109 N. Armstrong  Bixby, OK 74008 ",109 N. Armstrong ,,Bixby,OK,74008,35.94279,-95.88286,OK,1,Rural - Fringe (41),D - Rural,4004500,"6,424","C - 2,500 - 9,999",7,655.43,6.16%,A - Less than 10 percent,D - West,Regular LEA
Black River Falls School District,2017,http://www.brf.org/,"301 North 4th Street Black River Falls, WI 54615",301 North 4th Street,,Black River Falls,WI,54615,44.29738,-90.85209,WI,1,Town - Distant (32),C - Town,5501260,"1,758","B - 1,000 - 2,499",4,216.53,14.71%,B - 10 to 19.99 percent,C - Central,Regular LEA
Bloomfield Hills Schools,2018,https://www.bloomfield.org/,"7273 Wing Lake Road Bloomfield Hills, MI 48301",7273 Wing Lake Road,,Bloomfield Hills,MI,48301,42.53348,-83.2931,MI,1,Suburb - Large (21),B - Suburban,2606090,"5,473","C - 2,500 - 9,999",11,880.87,4.44%,A - Less than 10 percent,C - Central,Regular LEA
Bloomfield School District,2017,https://www.bloomfield.k12.nj.us/,"155 Broad Street Bloomfield, NJ 07003",155 Broad Street,,Bloomfield,NJ,7003,40.79953,-74.19676,NJ,1,Suburb - Large (21),B - Suburban,3401830,"6,410","C - 2,500 - 9,999",11,972.48,12.98%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Bloomington Public Schools,2017,https://www.bloomington.k12.mn.us/,"1350 West 106th Street Bloomington, MN 55431",1350 West 106th Street,,Bloomington,MN,55431,44.81254,-93.29494,MN,1,City - Small (13),A - City,2705790,"10,460","D - 10,000 - 24,999",23,"1,469.34",10.92%,B - 10 to 19.99 percent,C - Central,Regular LEA
Blue Earth Area Public Schools,2019,http://www.blueearth.k12.mn.us/,"315 East 6th Street Blue Earth, MN 56013",315 East 6th Street,,Blue Earth,MN,56013,43.63896,-94.09882,MN,1,Town - Distant (32),C - Town,2700130,"1,160","B - 1,000 - 2,499",4,176.33,13.39%,B - 10 to 19.99 percent,C - Central,Regular LEA
Blue Valley Schools,2019,https://www.bluevalleyk12.org/,"15020 Metcalf Ave Overland Park, KS 66223",15020 Metcalf Ave,,Overland Park,KS,66223,38.85656,-94.66819,KS,1,City - Midsize (12),A - City,2012000,"22,676","D - 10,000 - 24,999",35,"2,850.80",2.44%,A - Less than 10 percent,C - Central,Regular LEA
Boardman Local Schools,2017,http://www.boardman.k12.oh.us/index.aspx,"7410 Market Street Youngstown, OH 44512",7410 Market Street,,Youngstown,OH,44512,41.02019,-80.66462,OH,1,City - Small (13),A - City,3904830,"4,180","C - 2,500 - 9,999",7,664.4,16.62%,B - 10 to 19.99 percent,C - Central,Regular LEA
Boles Independent School District,2017,https://www.bolesisd.com/,"9777 F M 2101 Quinlan, TX 75474",9777 F M 2101,,Quinlan,TX,75474,32.94716,-96.10101,TX,1,Rural - Fringe (41),D - Rural,4810740,516,"A - Less than 1,000",3,85.92,23.53%,C - 20 to 29.99 percent,D - West,Regular LEA
Bondurant - Farrar Community School District,2020,https://www.bfschools.org/,"300 Garfield Street SW Bondurant, IA 50035",300 Garfield Street SW,,Bondurant,IA,50035,41.6982,-93.46704,IA,1,Rural - Fringe (41),D - Rural,1905070,"2,336","B - 1,000 - 2,499",4,291.78,3.29%,A - Less than 10 percent,C - Central,Regular LEA
Bonneville Joint School District No. 93,2018,http://www.d93schools.org/,"3497 North Ammon Road Idaho Falls, ID 83401",3497 North Ammon Road,,Idaho Falls,ID,83401,43.52755,-111.9641949,ID,1,Suburb - Small (23),B - Suburban,1600930,"11,688","D - 10,000 - 24,999",23,982.15,11.83%,B - 10 to 19.99 percent,D - West,Regular LEA
Boston Public Schools,2017,https://www.bostonpublicschools.org/,"2300 Washington Street Boston, MA 02119",2300 Washington Street,,Boston,MA,2119,42.33024,-71.08389,MA,1,City - Large (11),A - City,2502790,"53,885","E - 25,000 - 99,999",118,"6,034.82",28.32%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Boulder Valley School District,"2017, 2019",https://www.bvsd.org/Pages/default.aspx," 6500 Arapahoe Boulder, CO 80303", 6500 Arapahoe,,Boulder,CO,80303,40.01313,-105.20015,CO,2,City - Midsize (12),A - City,802490,"31,247","E - 25,000 - 99,999",57,"3,667.56",5.78%,A - Less than 10 percent,D - West,Regular LEA
